dataset,system,gold,prediction,count
AVeriTeC,single_haiku_3opt,support,support,38
AVeriTeC,single_haiku_3opt,support,refute,6
AVeriTeC,single_haiku_3opt,support,insufficient,6
AVeriTeC,single_haiku_3opt,support,conflicting,0
AVeriTeC,single_haiku_3opt,support,parse_failure,0
AVeriTeC,single_haiku_3opt,refute,support,1
AVeriTeC,single_haiku_3opt,refute,refute,46
AVeriTeC,single_haiku_3opt,refute,insufficient,3
AVeriTeC,single_haiku_3opt,refute,conflicting,0
AVeriTeC,single_haiku_3opt,refute,parse_failure,0
AVeriTeC,single_haiku_3opt,insufficient,support,0
AVeriTeC,single_haiku_3opt,insufficient,refute,11
AVeriTeC,single_haiku_3opt,insufficient,insufficient,24
AVeriTeC,single_haiku_3opt,insufficient,conflicting,0
AVeriTeC,single_haiku_3opt,insufficient,parse_failure,0
AVeriTeC,single_haiku_3opt,conflicting,support,29
AVeriTeC,single_haiku_3opt,conflicting,refute,97
AVeriTeC,single_haiku_3opt,conflicting,insufficient,24
AVeriTeC,single_haiku_3opt,conflicting,conflicting,0
AVeriTeC,single_haiku_3opt,conflicting,parse_failure,0
AVeriTeC,single_haiku_4opt_strong,support,support,33
AVeriTeC,single_haiku_4opt_strong,support,refute,0
AVeriTeC,single_haiku_4opt_strong,support,insufficient,8
AVeriTeC,single_haiku_4opt_strong,support,conflicting,9
AVeriTeC,single_haiku_4opt_strong,support,parse_failure,0
AVeriTeC,single_haiku_4opt_strong,refute,support,1
AVeriTeC,single_haiku_4opt_strong,refute,refute,40
AVeriTeC,single_haiku_4opt_strong,refute,insufficient,3
AVeriTeC,single_haiku_4opt_strong,refute,conflicting,6
AVeriTeC,single_haiku_4opt_strong,refute,parse_failure,0
AVeriTeC,single_haiku_4opt_strong,insufficient,support,0
AVeriTeC,single_haiku_4opt_strong,insufficient,refute,8
AVeriTeC,single_haiku_4opt_strong,insufficient,insufficient,23
AVeriTeC,single_haiku_4opt_strong,insufficient,conflicting,4
AVeriTeC,single_haiku_4opt_strong,insufficient,parse_failure,0
AVeriTeC,single_haiku_4opt_strong,conflicting,support,5
AVeriTeC,single_haiku_4opt_strong,conflicting,refute,38
AVeriTeC,single_haiku_4opt_strong,conflicting,insufficient,9
AVeriTeC,single_haiku_4opt_strong,conflicting,conflicting,98
AVeriTeC,single_haiku_4opt_strong,conflicting,parse_failure,0
AVeriTeC,single_sonnet_4opt_strong,support,support,37
AVeriTeC,single_sonnet_4opt_strong,support,refute,0
AVeriTeC,single_sonnet_4opt_strong,support,insufficient,4
AVeriTeC,single_sonnet_4opt_strong,support,conflicting,9
AVeriTeC,single_sonnet_4opt_strong,support,parse_failure,0
AVeriTeC,single_sonnet_4opt_strong,refute,support,1
AVeriTeC,single_sonnet_4opt_strong,refute,refute,41
AVeriTeC,single_sonnet_4opt_strong,refute,insufficient,0
AVeriTeC,single_sonnet_4opt_strong,refute,conflicting,8
AVeriTeC,single_sonnet_4opt_strong,refute,parse_failure,0
AVeriTeC,single_sonnet_4opt_strong,insufficient,support,0
AVeriTeC,single_sonnet_4opt_strong,insufficient,refute,7
AVeriTeC,single_sonnet_4opt_strong,insufficient,insufficient,22
AVeriTeC,single_sonnet_4opt_strong,insufficient,conflicting,6
AVeriTeC,single_sonnet_4opt_strong,insufficient,parse_failure,0
AVeriTeC,single_sonnet_4opt_strong,conflicting,support,8
AVeriTeC,single_sonnet_4opt_strong,conflicting,refute,22
AVeriTeC,single_sonnet_4opt_strong,conflicting,insufficient,5
AVeriTeC,single_sonnet_4opt_strong,conflicting,conflicting,113
AVeriTeC,single_sonnet_4opt_strong,conflicting,parse_failure,2
AVeriTeC,panel_3judge_3opt,support,support,46
AVeriTeC,panel_3judge_3opt,support,refute,1
AVeriTeC,panel_3judge_3opt,support,insufficient,3
AVeriTeC,panel_3judge_3opt,support,conflicting,0
AVeriTeC,panel_3judge_3opt,support,parse_failure,0
AVeriTeC,panel_3judge_3opt,refute,support,0
AVeriTeC,panel_3judge_3opt,refute,refute,49
AVeriTeC,panel_3judge_3opt,refute,insufficient,1
AVeriTeC,panel_3judge_3opt,refute,conflicting,0
AVeriTeC,panel_3judge_3opt,refute,parse_failure,0
AVeriTeC,panel_3judge_3opt,insufficient,support,0
AVeriTeC,panel_3judge_3opt,insufficient,refute,12
AVeriTeC,panel_3judge_3opt,insufficient,insufficient,23
AVeriTeC,panel_3judge_3opt,insufficient,conflicting,0
AVeriTeC,panel_3judge_3opt,insufficient,parse_failure,0
AVeriTeC,panel_3judge_3opt,conflicting,support,30
AVeriTeC,panel_3judge_3opt,conflicting,refute,103
AVeriTeC,panel_3judge_3opt,conflicting,insufficient,17
AVeriTeC,panel_3judge_3opt,conflicting,conflicting,0
AVeriTeC,panel_3judge_3opt,conflicting,parse_failure,0
AVeriTeC,panel_3judge_4opt_strong,support,support,37
AVeriTeC,panel_3judge_4opt_strong,support,refute,0
AVeriTeC,panel_3judge_4opt_strong,support,insufficient,3
AVeriTeC,panel_3judge_4opt_strong,support,conflicting,10
AVeriTeC,panel_3judge_4opt_strong,support,parse_failure,0
