dataset,system,label_basis,n_total,n_parse_ok,parse_failures,parse_failure_rate,overall_accuracy,macro_f1,n_conflicting,cco_n,cco_rate,cco_wilson_low,cco_wilson_high,conflict_recall,n_pure_sr,pure_sr_correct_n,pure_sr_accuracy,false_conflict_n,false_conflict_rate_on_sr,n_insufficient,insufficient_directional_n,insufficient_directional_rate,pred_support_n,pred_refute_n,pred_insufficient_n,pred_conflicting_n,pred_parse_failure_n
AVeriTeC,single_haiku_3opt,dataset_defined,285,285,0,0.0,0.37894736842105264,0.40097554128504753,150,126,0.84,0.7729603179581628,0.890059915871545,0.0,100,84,0.84,0,0.0,35,11,0.3142857142857143,68,160,57,0,0
AVeriTeC,single_haiku_4opt_strong,dataset_defined,285,285,0,0.0,0.6807017543859649,0.6634085786432118,150,43,0.2866666666666667,0.22033812687205268,0.36364917739166003,0.6533333333333333,100,73,0.73,15,0.15,35,8,0.22857142857142856,39,86,43,117,0
AVeriTeC,single_sonnet_4opt_strong,dataset_defined,285,283,2,0.007017543859649123,0.7473684210526316,0.7277607808857809,150,30,0.2,0.14384081582284963,0.27114133079799635,0.7533333333333333,100,78,0.78,17,0.17,35,7,0.2,46,70,31,136,2
AVeriTeC,panel_3judge_3opt,dataset_defined,285,285,0,0.0,0.41403508771929826,0.44206279116494007,150,133,0.8866666666666667,0.825997250162395,0.928025760859626,0.0,100,95,0.95,0,0.0,35,12,0.34285714285714286,76,165,44,0,0
AVeriTeC,panel_3judge_4opt_strong,dataset_defined,285,285,0,0.0,0.7649122807017544,0.7458103764921947,150,28,0.18666666666666668,0.13242415483319162,0.2565571983041365,0.7733333333333333,100,78,0.78,17,0.17,35,6,0.17142857142857143,42,71,34,138,0
AVeriTeC,panel_member_4opt::claude-haiku-4-5,dataset_defined,285,285,0,0.0,0.6807017543859649,0.6634085786432118,150,43,0.2866666666666667,0.22033812687205268,0.36364917739166003,0.6533333333333333,100,73,0.73,15,0.15,35,8,0.22857142857142856,39,86,43,117,0
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,dataset_defined,285,283,2,0.007017543859649123,0.7473684210526316,0.7277607808857809,150,30,0.2,0.14384081582284963,0.27114133079799635,0.7533333333333333,100,78,0.78,17,0.17,35,7,0.2,46,70,31,136,2
AVeriTeC,panel_member_4opt::gpt-4o-mini,dataset_defined,285,285,0,0.0,0.7473684210526316,0.725967032967033,150,36,0.24,0.17869313331595332,0.31429139375544646,0.7333333333333333,100,82,0.82,13,0.13,35,7,0.2,50,75,30,130,0
VitaminC-Mixed,single_haiku_3opt,dataset_defined,250,250,0,0.0,0.392,0.36574506678392793,100,77,0.77,0.6784561697712622,0.8415673411969654,0.0,100,75,0.75,0,0.0,50,27,0.54,111,76,63,0,0
VitaminC-Mixed,single_haiku_4opt_strong,dataset_defined,250,250,0,0.0,0.628,0.6191924663360457,100,44,0.44,0.34672026630160796,0.5377189534832302,0.55,100,77,0.77,3,0.03,50,22,0.44,79,70,40,61,0
VitaminC-Mixed,single_sonnet_4opt_strong,dataset_defined,250,250,0,0.0,0.648,0.6238484455868916,100,32,0.32,0.23669147324999093,0.41662618610452384,0.67,100,73,0.73,3,0.03,50,26,0.52,72,67,39,72,0
VitaminC-Mixed,panel_3judge_3opt,dataset_defined,250,250,0,0.0,0.412,0.3837069233429192,100,77,0.77,0.6784561697712622,0.8415673411969654,0.0,100,79,0.79,0,0.0,50,26,0.52,111,79,60,0,0
VitaminC-Mixed,panel_3judge_4opt_strong,dataset_defined,250,250,0,0.0,0.668,0.6443289627093327,100,30,0.3,0.2189488529493276,0.3958485463334666,0.7,100,74,0.74,5,0.05,50,25,0.5,74,60,39,77,0
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,dataset_defined,250,250,0,0.0,0.628,0.6191924663360457,100,44,0.44,0.34672026630160796,0.5377189534832302,0.55,100,77,0.77,3,0.03,50,22,0.44,79,70,40,61,0
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,dataset_defined,250,250,0,0.0,0.648,0.6238484455868916,100,32,0.32,0.23669147324999093,0.41662618610452384,0.67,100,73,0.73,3,0.03,50,26,0.52,72,67,39,72,0
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,dataset_defined,250,250,0,0.0,0.652,0.6237087498982536,100,31,0.31,0.22779697212376038,0.40626055719489407,0.69,100,75,0.75,3,0.03,50,26,0.52,80,60,33,77,0
