dataset,label,n,claim_chars_mean,claim_chars_median,claim_chars_p25,claim_chars_p75,claim_chars_min,claim_chars_max,evidence_chars_mean,evidence_chars_median,evidence_chars_p25,evidence_chars_p75,evidence_chars_min,evidence_chars_max,evidence_units_mean,evidence_units_median,evidence_units_p25,evidence_units_p75,evidence_units_min,evidence_units_max,prompt_chars_mean,prompt_chars_median,prompt_chars_p25,prompt_chars_p75,prompt_chars_min,prompt_chars_max
AVeriTeC,all,285,104.09473684210526,92.0,64.0,130.0,23,390,978.0877192982456,727.0,380.0,1295.0,42,11491,3.066666666666667,3.0,2.0,4.0,1,12,3055.182456140351,2808.0,2440.0,3388.0,2066,13602
AVeriTeC,support,50,96.04,85.5,66.0,113.25,43,214,512.0,342.5,224.25,606.0,42,2491,2.36,2.0,1.0,3.0,1,7,2581.04,2412.0,2291.0,2685.0,2066,4507
AVeriTeC,refute,50,114.7,115.5,68.25,159.25,37,208,1005.42,624.5,330.5,1078.5,91,11491,2.58,2.0,1.25,3.0,1,12,3093.12,2763.0,2380.75,3139.75,2113,13602
AVeriTeC,insufficient,35,100.51428571428572,95.0,63.0,128.0,42,279,772.2571428571429,461.0,293.0,788.0,60,4466,2.5142857142857142,2.0,2.0,3.0,1,7,2845.7714285714287,2514.0,2364.5,2899.0,2144,6564
AVeriTeC,conflicting,150,104.08,90.0,62.25,129.5,23,390,1172.3666666666666,982.0,626.75,1608.5,129,3704,3.5933333333333333,3.0,2.0,4.0,1,12,3249.4466666666667,3062.5,2714.75,3708.5,2137,5759
VitaminC-Mixed,all,250,67.484,62.0,48.0,83.75,18,169,210.68,175.0,114.25,277.5,42,1078,1.4,1.0,1.0,2.0,1,2,2251.164,2217.0,2156.0,2316.75,2065,3089
VitaminC-Mixed,support,50,60.14,58.5,41.0,76.5,18,119,144.78,135.0,107.75,171.25,42,376,1.0,1.0,1.0,1.0,1,1,2177.92,2173.5,2131.75,2206.5,2065,2408
VitaminC-Mixed,refute,50,56.16,52.5,43.25,62.0,22,148,147.14,135.5,99.5,190.25,56,276,1.0,1.0,1.0,1.0,1,1,2176.3,2169.5,2133.75,2217.25,2068,2316
VitaminC-Mixed,insufficient,50,87.84,85.0,60.25,109.75,28,155,135.06,111.5,91.0,153.5,57,387,1.0,1.0,1.0,1.0,1,1,2195.9,2178.0,2146.25,2233.75,2077,2447
VitaminC-Mixed,conflicting,100,66.64,63.5,49.0,81.25,30,169,313.21,296.0,222.75,363.25,98,1078,2.0,2.0,2.0,2.0,2,2,2352.85,2326.5,2254.0,2418.75,2116,3089
