dataset,model,structural_category,n_conflict_cases,dataset_cco_n,dataset_cco_rate,cco_support_n,cco_refute_n,cco_mean_confidence,cco_high_confidence_ge_080_n
AVeriTeC,claude-haiku-4-5,directional_plus_insufficient,10,4,0.4,0,4,0.9325,4
AVeriTeC,claude-haiku-4-5,insufficient_only,1,1,1.0,0,1,0.75,0
AVeriTeC,claude-haiku-4-5,material_mixed,100,23,0.23,4,19,0.91,23
AVeriTeC,claude-haiku-4-5,refute_only,12,9,0.75,0,9,0.9244444444444445,9
AVeriTeC,claude-haiku-4-5,separate_support_and_refute,24,5,0.20833333333333334,0,5,0.924,5
AVeriTeC,claude-haiku-4-5,support_only,3,1,0.3333333333333333,1,0,0.95,1
AVeriTeC,claude-sonnet-4-5,directional_plus_insufficient,10,2,0.2,0,2,0.95,2
AVeriTeC,claude-sonnet-4-5,insufficient_only,1,0,0.0,0,0,,0
AVeriTeC,claude-sonnet-4-5,material_mixed,100,15,0.15,5,10,0.9,15
AVeriTeC,claude-sonnet-4-5,refute_only,12,8,0.6666666666666666,1,7,0.8925,8
AVeriTeC,claude-sonnet-4-5,separate_support_and_refute,24,3,0.125,0,3,0.9066666666666666,3
AVeriTeC,claude-sonnet-4-5,support_only,3,2,0.6666666666666666,2,0,0.95,2
AVeriTeC,gpt-4o-mini,directional_plus_insufficient,10,3,0.3,0,3,0.9166666666666666,3
AVeriTeC,gpt-4o-mini,insufficient_only,1,0,0.0,0,0,,0
AVeriTeC,gpt-4o-mini,material_mixed,100,21,0.21,8,13,0.9047619047619048,21
AVeriTeC,gpt-4o-mini,refute_only,12,5,0.4166666666666667,0,5,0.89,5
AVeriTeC,gpt-4o-mini,separate_support_and_refute,24,6,0.25,1,5,0.9083333333333333,6
AVeriTeC,gpt-4o-mini,support_only,3,1,0.3333333333333333,1,0,0.95,1
VitaminC-Mixed,claude-haiku-4-5,directional_plus_insufficient,1,1,1.0,1,0,0.95,1
VitaminC-Mixed,claude-haiku-4-5,insufficient_only,1,0,0.0,0,0,,0
VitaminC-Mixed,claude-haiku-4-5,material_mixed,64,18,0.28125,8,10,0.9233333333333333,17
VitaminC-Mixed,claude-haiku-4-5,refute_only,11,8,0.7272727272727273,2,6,0.965,8
VitaminC-Mixed,claude-haiku-4-5,separate_support_and_refute,4,2,0.5,0,2,0.97,2
VitaminC-Mixed,claude-haiku-4-5,support_only,19,15,0.7894736842105263,15,0,0.958,15
VitaminC-Mixed,claude-sonnet-4-5,directional_plus_insufficient,1,1,1.0,1,0,0.95,1
VitaminC-Mixed,claude-sonnet-4-5,insufficient_only,1,1,1.0,0,1,0.95,1
VitaminC-Mixed,claude-sonnet-4-5,material_mixed,64,8,0.125,2,6,0.9425,8
VitaminC-Mixed,claude-sonnet-4-5,refute_only,11,6,0.5454545454545454,1,5,0.9616666666666666,6
VitaminC-Mixed,claude-sonnet-4-5,separate_support_and_refute,4,3,0.75,1,2,0.9333333333333332,3
VitaminC-Mixed,claude-sonnet-4-5,support_only,19,13,0.6842105263157895,13,0,0.9492307692307692,13
VitaminC-Mixed,gpt-4o-mini,directional_plus_insufficient,1,1,1.0,1,0,0.95,1
VitaminC-Mixed,gpt-4o-mini,insufficient_only,1,0,0.0,0,0,,0
VitaminC-Mixed,gpt-4o-mini,material_mixed,64,16,0.25,10,6,0.91875,16
VitaminC-Mixed,gpt-4o-mini,refute_only,11,4,0.36363636363636365,1,3,0.975,4
VitaminC-Mixed,gpt-4o-mini,separate_support_and_refute,4,0,0.0,0,0,,0
VitaminC-Mixed,gpt-4o-mini,support_only,19,10,0.5263157894736842,10,0,0.9400000000000001,10
