model_slot,gold,prediction,count
closed_openai_current,support,support,37
closed_openai_current,support,refute,0
closed_openai_current,support,insufficient,8
closed_openai_current,support,conflicting,5
closed_openai_current,support,parse_failure,0
closed_openai_current,refute,support,0
closed_openai_current,refute,refute,43
closed_openai_current,refute,insufficient,3
closed_openai_current,refute,conflicting,4
closed_openai_current,refute,parse_failure,0
closed_openai_current,insufficient,support,0
closed_openai_current,insufficient,refute,3
closed_openai_current,insufficient,insufficient,29
closed_openai_current,insufficient,conflicting,3
closed_openai_current,insufficient,parse_failure,0
closed_openai_current,conflicting,support,17
closed_openai_current,conflicting,refute,27
closed_openai_current,conflicting,insufficient,14
closed_openai_current,conflicting,conflicting,92
closed_openai_current,conflicting,parse_failure,0
closed_anthropic_current,support,support,41
closed_anthropic_current,support,refute,1
closed_anthropic_current,support,insufficient,5
closed_anthropic_current,support,conflicting,3
closed_anthropic_current,support,parse_failure,0
closed_anthropic_current,refute,support,0
closed_anthropic_current,refute,refute,46
closed_anthropic_current,refute,insufficient,2
closed_anthropic_current,refute,conflicting,2
closed_anthropic_current,refute,parse_failure,0
closed_anthropic_current,insufficient,support,0
closed_anthropic_current,insufficient,refute,7
closed_anthropic_current,insufficient,insufficient,24
closed_anthropic_current,insufficient,conflicting,3
closed_anthropic_current,insufficient,parse_failure,1
closed_anthropic_current,conflicting,support,12
closed_anthropic_current,conflicting,refute,33
closed_anthropic_current,conflicting,insufficient,9
closed_anthropic_current,conflicting,conflicting,95
closed_anthropic_current,conflicting,parse_failure,1
openweight_gpt_oss_120b,support,support,37
openweight_gpt_oss_120b,support,refute,1
openweight_gpt_oss_120b,support,insufficient,10
openweight_gpt_oss_120b,support,conflicting,2
openweight_gpt_oss_120b,support,parse_failure,0
openweight_gpt_oss_120b,refute,support,0
openweight_gpt_oss_120b,refute,refute,42
openweight_gpt_oss_120b,refute,insufficient,6
openweight_gpt_oss_120b,refute,conflicting,2
openweight_gpt_oss_120b,refute,parse_failure,0
openweight_gpt_oss_120b,insufficient,support,1
openweight_gpt_oss_120b,insufficient,refute,9
openweight_gpt_oss_120b,insufficient,insufficient,25
openweight_gpt_oss_120b,insufficient,conflicting,0
openweight_gpt_oss_120b,insufficient,parse_failure,0
openweight_gpt_oss_120b,conflicting,support,19
openweight_gpt_oss_120b,conflicting,refute,53
openweight_gpt_oss_120b,conflicting,insufficient,22
openweight_gpt_oss_120b,conflicting,conflicting,56
openweight_gpt_oss_120b,conflicting,parse_failure,0
openweight_mistral_small_4,support,support,35
openweight_mistral_small_4,support,refute,2
openweight_mistral_small_4,support,insufficient,8
openweight_mistral_small_4,support,conflicting,5
openweight_mistral_small_4,support,parse_failure,0
openweight_mistral_small_4,refute,support,2
openweight_mistral_small_4,refute,refute,33
openweight_mistral_small_4,refute,insufficient,2
openweight_mistral_small_4,refute,conflicting,13
openweight_mistral_small_4,refute,parse_failure,0
openweight_mistral_small_4,insufficient,support,0
openweight_mistral_small_4,insufficient,refute,7
openweight_mistral_small_4,insufficient,insufficient,24
openweight_mistral_small_4,insufficient,conflicting,4
openweight_mistral_small_4,insufficient,parse_failure,0
openweight_mistral_small_4,conflicting,support,13
openweight_mistral_small_4,conflicting,refute,19
openweight_mistral_small_4,conflicting,insufficient,10
openweight_mistral_small_4,conflicting,conflicting,108
openweight_mistral_small_4,conflicting,parse_failure,0
