model_slot,gold,prediction,count
closed_openai_current,support,support,40
closed_openai_current,support,refute,1
closed_openai_current,support,insufficient,9
closed_openai_current,support,conflicting,0
closed_openai_current,support,parse_failure,0
closed_openai_current,refute,support,3
closed_openai_current,refute,refute,32
closed_openai_current,refute,insufficient,14
closed_openai_current,refute,conflicting,1
closed_openai_current,refute,parse_failure,0
closed_openai_current,insufficient,support,12
closed_openai_current,insufficient,refute,7
closed_openai_current,insufficient,insufficient,31
closed_openai_current,insufficient,conflicting,0
closed_openai_current,insufficient,parse_failure,0
closed_openai_current,conflicting,support,33
closed_openai_current,conflicting,refute,5
closed_openai_current,conflicting,insufficient,5
closed_openai_current,conflicting,conflicting,57
closed_openai_current,conflicting,parse_failure,0
closed_anthropic_current,support,support,41
closed_anthropic_current,support,refute,3
closed_anthropic_current,support,insufficient,4
closed_anthropic_current,support,conflicting,2
closed_anthropic_current,support,parse_failure,0
closed_anthropic_current,refute,support,2
closed_anthropic_current,refute,refute,36
closed_anthropic_current,refute,insufficient,10
closed_anthropic_current,refute,conflicting,2
closed_anthropic_current,refute,parse_failure,0
closed_anthropic_current,insufficient,support,14
closed_anthropic_current,insufficient,refute,7
closed_anthropic_current,insufficient,insufficient,28
closed_anthropic_current,insufficient,conflicting,1
closed_anthropic_current,insufficient,parse_failure,0
closed_anthropic_current,conflicting,support,25
closed_anthropic_current,conflicting,refute,13
closed_anthropic_current,conflicting,insufficient,1
closed_anthropic_current,conflicting,conflicting,61
closed_anthropic_current,conflicting,parse_failure,0
openweight_gpt_oss_120b,support,support,44
openweight_gpt_oss_120b,support,refute,2
openweight_gpt_oss_120b,support,insufficient,4
openweight_gpt_oss_120b,support,conflicting,0
openweight_gpt_oss_120b,support,parse_failure,0
openweight_gpt_oss_120b,refute,support,3
openweight_gpt_oss_120b,refute,refute,35
openweight_gpt_oss_120b,refute,insufficient,12
openweight_gpt_oss_120b,refute,conflicting,0
openweight_gpt_oss_120b,refute,parse_failure,0
openweight_gpt_oss_120b,insufficient,support,12
openweight_gpt_oss_120b,insufficient,refute,10
openweight_gpt_oss_120b,insufficient,insufficient,27
openweight_gpt_oss_120b,insufficient,conflicting,1
openweight_gpt_oss_120b,insufficient,parse_failure,0
openweight_gpt_oss_120b,conflicting,support,20
openweight_gpt_oss_120b,conflicting,refute,4
openweight_gpt_oss_120b,conflicting,insufficient,1
openweight_gpt_oss_120b,conflicting,conflicting,75
openweight_gpt_oss_120b,conflicting,parse_failure,0
openweight_mistral_small_4,support,support,42
openweight_mistral_small_4,support,refute,2
openweight_mistral_small_4,support,insufficient,6
openweight_mistral_small_4,support,conflicting,0
openweight_mistral_small_4,support,parse_failure,0
openweight_mistral_small_4,refute,support,5
openweight_mistral_small_4,refute,refute,32
openweight_mistral_small_4,refute,insufficient,12
openweight_mistral_small_4,refute,conflicting,1
openweight_mistral_small_4,refute,parse_failure,0
openweight_mistral_small_4,insufficient,support,17
openweight_mistral_small_4,insufficient,refute,7
openweight_mistral_small_4,insufficient,insufficient,21
openweight_mistral_small_4,insufficient,conflicting,5
openweight_mistral_small_4,insufficient,parse_failure,0
openweight_mistral_small_4,conflicting,support,25
openweight_mistral_small_4,conflicting,refute,11
openweight_mistral_small_4,conflicting,insufficient,2
openweight_mistral_small_4,conflicting,conflicting,62
openweight_mistral_small_4,conflicting,parse_failure,0
